"","X","Case","Restaurant","Price","Food","Decor","Service","East"
"125",125,125,"Becco",38,20,17,19,0
"126",126,126,"Coco Pazzo Teatro",47,18,18,17,0
"127",127,127,"Orso",46,22,18,20,0
"128",128,128,"Osteria al Doge",40,20,17,18,0
"129",129,129,"Pietrasanta",32,20,15,19,0
"130",130,130,"Rainbow Grill",65,19,23,18,0
"131",131,131,"Torre di Pisa",47,19,21,17,0
"132",132,132,"San Domenico",65,23,22,22,0
"133",133,133,"Trionfo",45,20,17,21,0
"134",134,134,"ViceVersa",46,22,22,20,0
"135",135,135,"Artusi",44,20,19,20,0
"136",136,136,"Ciao Europa",40,19,19,18,0
"137",137,137,"Limoncello",46,19,18,20,0
"138",138,138,"Puttanesca",32,19,15,17,0
"139",139,139,"Rino Trattoria",23,20,14,16,0
"140",140,140,"Sette MoMA",42,18,21,17,0
"141",141,141,"Trattoria Del Sogno",29,21,18,19,0
"142",142,142,"Castellano",49,21,18,20,0
"143",143,143,"Circo Osteria del",53,22,24,21,0
"144",144,144,"Giovanni",45,22,19,21,0
"145",145,145,"Palio",63,22,25,22,0
"146",146,146,"Remi",52,23,23,21,0
"147",147,147,"Tuscan Square",40,19,20,17,0
"148",148,148,"Vago Ristorante",45,22,21,23,0
"149",149,149,"Bello",38,21,17,20,0
"150",150,150,"Caffe Cielo",38,18,17,18,0
"151",151,151,"Da Tommaso",42,21,16,20,0
"152",152,152,"Il Tinello",57,23,19,23,0
"153",153,153,"Nocello",39,21,19,20,0
"154",154,154,"Tino's",43,20,18,18,0
"155",155,155,"Mangia e Bevi",29,17,14,16,0
"156",156,156,"Patsy's",42,20,16,19,0
"157",157,157,"Gabriel's",50,22,19,21,0
"158",158,158,"Pappardella",34,18,16,17,0
"159",159,159,"Ernie's",31,16,15,16,0
"160",160,160,"Pomodoro Rosso",31,20,17,19,0
"161",161,161,"Scaletta",46,21,19,22,0
"162",162,162,"La Grolla, Ristorante",42,21,15,19,0
"163",163,163,"Sambuca, Trattoria",31,19,16,18,0
"164",164,164,"Baci",31,17,15,16,0
"165",165,165,"Puccini",26,20,16,17,0
"166",166,166,"Bella Luna",31,18,16,17,0
"167",167,167,"Metisse",38,22,17,21,0
"168",168,168,"Gennaro",34,24,10,16,0
